                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.00501,                 1.0589,                0.96438,                0.97564,                0.83715,                0.90211,                0.79433,                0.00363,                0.64377,                0.91042,               0.007875,               0.007875,               0.007875
                     37,                  0.005,                 1.0555,                0.96486,                0.97472,                0.83917,                0.90295,                 0.7952,                0.00362,                0.64012,                0.90975,              0.0078125,              0.0078125,              0.0078125
                     38,                  0.005,                 1.0525,                 0.9649,                0.97429,                0.84047,                0.90376,                0.79616,                0.00361,                0.63671,                0.90904,                0.00775,                0.00775,                0.00775
                     39,                0.00498,                 1.0469,                0.96343,                0.97418,                0.84131,                0.90437,                0.79715,                 0.0036,                0.63356,                0.90814,              0.0076875,              0.0076875,              0.0076875
                     40,                0.00496,                 1.0393,                 0.9626,                0.97472,                0.84165,                0.90487,                0.79767,                0.00359,                 0.6311,                0.90776,               0.007625,               0.007625,               0.007625
                     41,                0.00496,                   1.04,                0.96269,                0.97591,                0.84142,                 0.9053,                0.79809,                0.00359,                0.62829,                0.90742,              0.0075625,              0.0075625,              0.0075625
                     42,                0.00495,                 1.0367,                0.96253,                0.97553,                0.84255,                 0.9057,                 0.7988,                0.00358,                0.62504,                0.90686,                 0.0075,                 0.0075,                 0.0075
                     43,                0.00495,                  1.033,                0.96206,                0.97603,                0.84271,                0.90611,                0.79953,                0.00357,                0.62239,                0.90639,              0.0074375,              0.0074375,              0.0074375
                     44,                0.00494,                  1.031,                0.96092,                0.97634,                0.84309,                0.90644,                0.79977,                0.00356,                0.62021,                 0.9061,               0.007375,               0.007375,               0.007375
                     45,                0.00493,                 1.0286,                0.96054,                0.97599,                0.84355,                0.90673,                0.80032,                0.00356,                0.61856,                0.90583,              0.0073125,              0.0073125,              0.0073125
                     46,                0.00494,                 1.0278,                0.96065,                0.97574,                0.84454,                0.90704,                0.80055,                0.00356,                0.61693,                0.90571,                0.00725,                0.00725,                0.00725
                     47,                0.00492,                 1.0262,                0.95951,                0.97541,                0.84539,                 0.9073,                0.80122,                0.00355,                0.61504,                0.90509,              0.0071875,              0.0071875,              0.0071875
                     48,                0.00492,                 1.0204,                0.95969,                0.97646,                0.84518,                0.90762,                0.80176,                0.00354,                0.61324,                 0.9047,               0.007125,               0.007125,               0.007125
                     49,                0.00491,                 1.0192,                0.95853,                0.97589,                0.84607,                0.90795,                0.80203,                0.00354,                 0.6123,                0.90468,              0.0070625,              0.0070625,              0.0070625
                     50,                 0.0049,                 1.0148,                0.95831,                0.97605,                0.84647,                0.90818,                0.80231,                0.00353,                  0.611,                0.90433,                  0.007,                  0.007,                  0.007
                     51,                 0.0049,                 1.0154,                0.95827,                0.97653,                0.84653,                0.90839,                0.80259,                0.00353,                0.60952,                0.90408,              0.0069375,              0.0069375,              0.0069375
                     52,                0.00489,                 1.0121,                0.95806,                0.97656,                0.84678,                0.90866,                0.80307,                0.00353,                0.60852,                0.90391,               0.006875,               0.006875,               0.006875
                     53,                0.00489,                 1.0115,                0.95814,                0.97619,                0.84729,                0.90884,                0.80347,                0.00352,                0.60704,                0.90345,              0.0068125,              0.0068125,              0.0068125
                     54,                0.00489,                 1.0104,                0.95766,                0.97677,                0.84735,                0.90904,                0.80374,                0.00352,                  0.606,                0.90328,                0.00675,                0.00675,                0.00675
                     55,                0.00487,                 1.0043,                0.95563,                0.97677,                0.84753,                0.90927,                0.80379,                0.00353,                0.60522,                0.90346,              0.0066875,              0.0066875,              0.0066875
                     56,                0.00487,                 1.0057,                0.95689,                0.97709,                0.84743,                0.90947,                0.80394,                0.00353,                0.60486,                0.90338,               0.006625,               0.006625,               0.006625
                     57,                0.00486,                 1.0025,                0.95594,                0.97692,                0.84803,                0.90971,                0.80419,                0.00352,                0.60395,                0.90312,              0.0065625,              0.0065625,              0.0065625
                     58,                0.00486,                  1.002,                0.95585,                0.97673,                0.84836,                0.90988,                0.80439,                0.00352,                0.60285,                0.90285,                 0.0065,                 0.0065,                 0.0065
                     59,                0.00486,                 1.0019,                0.95599,                0.97629,                0.84879,                0.91005,                0.80472,                0.00351,                0.60221,                0.90262,              0.0064375,              0.0064375,              0.0064375
